Date,Ticker,Open,High,Low,Close,Volume,Return,MA20,MA50,RSI,EMA12,EMA26,MACD,MACD_Signal,Volatility,Volume_MA,Volume_Spike,Target,Logistic,RandomForest,SVM,DecisionTree,GradientBoost,XGBoost,Vote,Signal,Signal_Label,Confidence,Risk,Stop_Loss,Target_Price
2024-07-10,ADANIENT.NS,3118.5542215420373,3125.700581415063,3061.882118750566,3094.466064453125,586710,-0.004741616601829923,3186.0071533203127,3139.73748046875,21.167751748266824,3148.50568706256,3168.110278997145,-19.604591934585187,-6.446336727035039,0.00918965470674301,2036195.45,False,0,1,0,0,0,0,0,1,1,BUY,16.666666666666664,Low,3001.632082519531,3249.1893676757813
2024-07-11,ADANIENT.NS,3117.1545411753686,3128.249138398057,3072.5767882338755,3076.774658203125,899781,-0.005717111088476723,3179.0360107421875,3139.7035791015624,25.974006748390366,3137.467942267535,3161.20842183272,-23.74047956518507,-9.90520478795672,0.009222837071177948,1930060.65,False,0,1,0,0,0,0,0,1,1,BUY,16.666666666666664,Low,2984.471418457031,3230.6133911132815
2024-07-12,ADANIENT.NS,3088.469037676798,3097.2647264585803,3056.8348165006923,3063.93115234375,756036,-0.004174340758148265,3171.1354370117188,3139.9423388671876,22.930199791934598,3126.15267998667,3153.8685284616795,-27.715848475009352,-13.467366063520599,0.009184390376559843,1807713.55,False,1,1,1,0,1,1,1,5,1,BUY,83.33333333333334,Low,2972.0132177734376,3217.1277099609374
2024-07-15,ADANIENT.NS,3064.580887870172,3101.9622590845297,3056.8347278869574,3088.86865234375,724171,0.008139053640589866,3162.5721801757813,3140.98158203125,33.187454709776176,3120.4158563524406,3148.970826879779,-28.554970527338355,-16.48490900700391,0.008913033528479941,1632679.35,False,1,1,1,0,1,0,1,4,1,BUY,66.66666666666666,Low,2996.2025927734376,3243.3120849609377
2024-07-16,ADANIENT.NS,3108.459125859896,3136.1953769025367,3094.5661103328894,3107.759521484375,988357,0.0061157890693381844,3152.589636230469,3143.32482421875,38.15335063245173,3118.468492562901,3145.8695349520685,-27.401042389167742,-18.66814844666874,0.008234844903283224,1594316.6,False,0,1,0,0,0,0,1,2,1,BUY,33.33333333333333,Low,3014.5267358398437,3263.147497558594
2024-07-18,ADANIENT.NS,3104.4609353281567,3109.458457761073,3055.635043550696,3090.667724609375,1021653,-0.005499716679119526,3144.108837890625,3147.6961279296875,34.68144054317632,3114.1910139167426,3141.720302998682,-27.529289081939623,-20.44038486212747,0.007832640826573398,1574436.05,False,0,1,0,0,0,0,0,1,1,BUY,16.666666666666664,Low,2997.9476928710938,3245.2011108398438
2024-07-19,ADANIENT.NS,3090.4679824230443,3092.966743728367,2998.513566387171,3004.210693359375,1026941,-0.0279735768945939,3131.427624511719,3151.1116015625,25.869114256698538,3097.269500395361,3131.3956845109665,-34.12618411560561,-23.177554953792235,0.009643393268371797,1557455.85,False,0,1,0,0,0,0,0,1,1,BUY,16.666666666666664,Low,2914.0843725585937,3154.4212280273437
2024-07-22,ADANIENT.NS,3004.2107318326093,3025.400179169175,2970.677305881804,2999.36328125,662085,-0.0016135393300109602,3122.009802246094,3153.9385595703125,24.11941012278396,3082.205902230654,3121.4923011526175,-39.28639892196361,-26.39933339070989,0.00872306904651702,1355677.35,False,0,1,0,0,0,0,0,1,1,BUY,16.666666666666664,Low,2909.3823828125,3149.3314453125
2024-07-23,ADANIENT.NS,3018.503655649862,3036.494737041153,2884.919973927393,2993.865966796875,1443331,-0.0018328271495121617,3112.05224609375,3158.5319140625,25.963173626412853,3068.6143008946806,3111.928329338364,-43.31402844368358,-29.78228050185363,0.008659453783329394,1264761.55,False,0,1,0,0,0,0,0,1,1,BUY,16.666666666666664,Low,2904.0499877929688,3143.5592651367188
2024-07-24,ADANIENT.NS,2993.865960161793,3006.009842466137,2957.8337734290485,2969.22802734375,693702,-0.008229473104798046,3102.03720703125,3162.0210498046877,15.067374438546338,3053.3233033845377,3101.2439781354597,-47.92067475092199,-33.409966300932695,0.008683794413091432,1214698.55,False,1,1,1,0,1,1,1,5,1,BUY,83.33333333333334,Low,2880.1511865234374,3117.6894287109376
