Date,Ticker,Open,High,Low,Close,Volume
10-07-2024,ADANIENT.NS,3118.554222,3125.700581,3061.882119,3094.466064,586710
11-07-2024,ADANIENT.NS,3117.154541,3128.249138,3072.576788,3076.774658,899781
12-07-2024,ADANIENT.NS,3088.469038,3097.264726,3056.834817,3063.931152,756036
15-07-2024,ADANIENT.NS,3064.580888,3101.962259,3056.834728,3088.868652,724171
16-07-2024,ADANIENT.NS,3108.459126,3136.195377,3094.56611,3107.759521,988357
18-07-2024,ADANIENT.NS,3104.460935,3109.458458,3055.635044,3090.667725,1021653
19-07-2024,ADANIENT.NS,3090.467982,3092.966744,2998.513566,3004.210693,1026941
22-07-2024,ADANIENT.NS,3004.210732,3025.400179,2970.677306,2999.363281,662085
23-07-2024,ADANIENT.NS,3018.503656,3036.494737,2884.919974,2993.865967,1443331
24-07-2024,ADANIENT.NS,2993.86596,3006.009842,2957.833773,2969.228027,693702
25-07-2024,ADANIENT.NS,2959.232905,3016.154637,2943.640781,2972.026611,1105721
26-07-2024,ADANIENT.NS,2993.515997,3107.459511,2986.619514,3078.973633,1942427
29-07-2024,ADANIENT.NS,3092.766834,3118.803976,3072.476844,3087.819336,1037474
30-07-2024,ADANIENT.NS,3090.467917,3153.4367,3065.13038,3127.199707,1647048
31-07-2024,ADANIENT.NS,3139.443759,3195.915765,3133.446731,3167.82959,2414005
01-08-2024,ADANIENT.NS,3178.42422,3256.385569,3150.138195,3215.655762,6149883
02-08-2024,ADANIENT.NS,3198.414465,3213.407032,3109.458562,3159.33374,3360209
05-08-2024,ADANIENT.NS,3083.47144,3131.497681,2994.815438,3036.69458,2238921
06-08-2024,ADANIENT.NS,3082.47194,3141.242855,3055.735194,3071.17749,2125201
07-08-2024,ADANIENT.NS,3116.455055,3188.41938,3110.458028,3184.371338,1868169
08-08-2024,ADANIENT.NS,3188.969072,3241.043109,3154.985919,3165.980469,2139376
09-08-2024,ADANIENT.NS,3207.410026,3217.704972,3169.478878,3185.970703,760165
12-08-2024,ADANIENT.NS,3098.463876,3168.279361,3012.506491,3150.188232,10307245
13-08-2024,ADANIENT.NS,3168.479246,3176.525306,3080.222952,3090.667725,2192588
14-08-2024,ADANIENT.NS,3084.171009,3084.171009,3026.249772,3038.59375,1232383
16-08-2024,ADANIENT.NS,3068.478941,3120.053473,3037.844224,3107.259766,970067
19-08-2024,ADANIENT.NS,3120.503033,3132.746963,3091.417355,3101.012695,557265
20-08-2024,ADANIENT.NS,3117.404534,3124.45109,3057.33446,3069.128418,662263
21-08-2024,ADANIENT.NS,3069.128522,3151.737718,3066.879636,3114.15625,1379240
22-08-2024,ADANIENT.NS,3129.198647,3148.439109,3089.468344,3097.514404,1378912
23-08-2024,ADANIENT.NS,3099.463371,3121.45247,3066.080019,3074.825684,1375224
26-08-2024,ADANIENT.NS,3086.469833,3088.468842,3053.486185,3067.479248,1632446
27-08-2024,ADANIENT.NS,3070.677649,3094.216028,3062.481761,3065.580322,1310440
28-08-2024,ADANIENT.NS,3076.474983,3076.474983,3020.602777,3026.499756,1569652
29-08-2024,ADANIENT.NS,3028.498537,3040.442567,2979.822718,3018.65332,1853966
30-08-2024,ADANIENT.NS,3028.498629,3037.044441,3001.811908,3017.854004,3509174
02-09-2024,ADANIENT.NS,3019.603203,3057.634155,2996.114847,3040.642578,1842658
03-09-2024,ADANIENT.NS,3035.49516,3051.537256,3022.301749,3034.595703,1371577
04-09-2024,ADANIENT.NS,3008.508489,3023.501056,2953.735594,3010.857422,1212270
05-09-2024,ADANIENT.NS,3023.501078,3036.394588,3000.512475,3013.855957,734273
06-09-2024,ADANIENT.NS,3017.504055,3023.501082,2966.529326,2973.975586,1251165
09-09-2024,ADANIENT.NS,2970.627408,2971.027112,2925.849558,2962.681152,1523581
10-09-2024,ADANIENT.NS,2970.127695,3005.909761,2946.139586,2984.920166,803782
11-09-2024,ADANIENT.NS,2983.521073,2991.467085,2926.549314,2936.394531,888628
12-09-2024,ADANIENT.NS,2948.53838,2998.513607,2915.704559,2989.518066,1314173
13-09-2024,ADANIENT.NS,2970.527488,3000.462601,2954.58544,2966.879395,815948
16-09-2024,ADANIENT.NS,2970.527388,3024.900335,2970.527388,2983.420898,695162
17-09-2024,ADANIENT.NS,2988.56857,2994.415525,2951.037126,2973.72583,698700
18-09-2024,ADANIENT.NS,2974.525395,2983.271059,2933.54571,2954.835205,831891
19-09-2024,ADANIENT.NS,2973.575991,2973.775843,2888.918007,2941.69165,1655401
20-09-2024,ADANIENT.NS,2946.689083,3023.501102,2940.592252,3007.009277,1787210
23-09-2024,ADANIENT.NS,3018.503567,3068.478791,3013.75592,3042.44165,897314
24-09-2024,ADANIENT.NS,3053.486315,3099.463523,3038.743623,3092.366943,1021918
25-09-2024,ADANIENT.NS,3106.459989,3122.352013,3078.673715,3103.561523,913008
26-09-2024,ADANIENT.NS,3083.471293,3146.440075,3083.471293,3121.102539,1548019
27-09-2024,ADANIENT.NS,3120.453087,3177.424844,3114.45606,3128.749023,2297441
30-09-2024,ADANIENT.NS,3127.449683,3208.309502,3118.853846,3134.296387,1607429
01-10-2024,ADANIENT.NS,3134.74611,3190.418464,3105.460578,3184.521484,1367116
03-10-2024,ADANIENT.NS,3148.439208,3194.76634,3082.571958,3114.456055,1309703
04-10-2024,ADANIENT.NS,3118.354059,3147.939491,3068.478881,3109.108643,987583
07-10-2024,ADANIENT.NS,3109.108635,3126.949888,2978.973195,3016.504639,1743454
08-10-2024,ADANIENT.NS,3017.0043,3168.42923,2993.366116,3159.133789,1776511
09-10-2024,ADANIENT.NS,3173.426726,3178.374224,3132.846747,3152.187256,897335
10-10-2024,ADANIENT.NS,3138.444191,3209.409012,3054.58586,3172.627197,2905725
11-10-2024,ADANIENT.NS,3172.627175,3188.419395,3114.456061,3135.645508,1035260
14-10-2024,ADANIENT.NS,3143.441626,3148.539197,3091.317565,3099.563477,437728
15-10-2024,ADANIENT.NS,3122.452107,3126.450125,3089.96821,3103.161621,371613
16-10-2024,ADANIENT.NS,3096.464952,3113.856232,3059.483285,3084.37085,543476
17-10-2024,ADANIENT.NS,3088.418783,3098.463852,2991.516874,3012.256592,2655289
18-10-2024,ADANIENT.NS,2988.518397,3030.197685,2966.629347,3000.512451,796339
21-10-2024,ADANIENT.NS,3003.660891,3013.456084,2915.504641,2936.194336,1051690
22-10-2024,ADANIENT.NS,2936.544245,2953.535822,2816.603704,2822.400879,1209732
23-10-2024,ADANIENT.NS,2839.442442,2877.573441,2818.702724,2834.14502,1270530
24-10-2024,ADANIENT.NS,2839.642329,2873.725286,2806.508608,2828.797607,942066
25-10-2024,ADANIENT.NS,2843.590442,2845.589451,2653.384677,2692.115479,1954174
28-10-2024,ADANIENT.NS,2699.761714,2821.001416,2670.776084,2797.263184,1385033
29-10-2024,ADANIENT.NS,2801.611216,2861.631512,2731.496071,2847.188721,1529844
30-10-2024,ADANIENT.NS,2862.580981,2995.664912,2813.655283,2967.828857,2884272
31-10-2024,ADANIENT.NS,2966.42922,2975.025057,2932.396288,2945.789551,1156390
01-11-2024,ADANIENT.NS,2958.533372,2974.12574,2926.948931,2948.038574,304673
04-11-2024,ADANIENT.NS,2933.545824,2941.54186,2856.334098,2895.964355,1059384
05-11-2024,ADANIENT.NS,2895.964315,2922.551233,2868.577989,2914.105469,752303
06-11-2024,ADANIENT.NS,2916.554265,3068.478956,2916.554265,3044.740723,1676755
07-11-2024,ADANIENT.NS,3043.491208,3043.491208,2941.591772,2968.628418,1285585
08-11-2024,ADANIENT.NS,2963.630843,2993.51593,2909.807429,2927.648682,835641
11-11-2024,ADANIENT.NS,2926.549214,2945.339948,2886.569034,2902.211182,584144
12-11-2024,ADANIENT.NS,2908.55806,2928.997878,2853.585314,2868.577881,597231
13-11-2024,ADANIENT.NS,2858.582792,2887.568421,2806.608559,2815.304199,890146
14-11-2024,ADANIENT.NS,2822.600753,2843.390495,2799.612149,2825.399414,646797
18-11-2024,ADANIENT.NS,2825.399307,2857.233378,2791.915907,2817.303223,489692
